user_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
166,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,32
26,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32
41,76,35,37,22,60,65,80,72,66,58,40,11,36,21,5,59,87,67,32,33
286,76,35,37,22,60,65,80,72,66,58,7,11,36,21,5,59,146,87,67,32
108,76,35,37,22,60,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
479,76,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
483,76,35,37,22,60,65,80,72,66,58,7,40,36,21,5,59,146,87,67,32
355,76,35,37,22,60,65,80,66,58,7,40,11,36,21,5,59,146,87,67,32
297,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
88,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32
308,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
452,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
262,76,35,37,60,65,80,72,66,58,7,40,11,36,21,5,59,146,67,32,33
225,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,32
247,76,35,37,60,65,80,72,66,58,7,40,11,36,21,5,59,146,33,78,19
223,76,35,37,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
421,76,35,37,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
109,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
441,76,35,37,22,60,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
454,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
60,76,37,22,60,65,72,66,58,7,11,36,21,5,59,87,67,32,33,78,19
337,76,35,37,22,60,65,80,66,58,7,11,36,21,5,59,146,87,67,32,33
136,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
176,76,35,37,22,60,65,80,72,66,58,7,40,11,21,5,59,146,87,67,32
234,76,35,37,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
370,76,35,37,22,60,65,80,66,58,7,40,11,36,21,5,59,146,87,67,32
245,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
482,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
267,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
50,76,35,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32,33
56,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32
40,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32
343,76,35,37,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
52,76,35,37,22,60,65,80,72,66,58,7,40,36,21,5,59,87,67,32,33
404,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
373,76,35,37,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
173,76,35,37,60,65,80,72,66,58,7,40,11,36,5,59,146,87,67,32,33
362,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
49,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32
406,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
307,76,35,37,22,60,65,72,66,58,7,40,11,36,21,5,59,146,87,67,32
89,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32
306,76,35,37,22,60,65,80,72,58,7,40,11,36,21,5,59,87,67,33,78
395,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
317,76,35,37,22,60,65,80,66,58,7,40,11,36,21,5,59,146,87,67,32
148,76,35,37,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
189,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
233,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
383,76,35,37,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
6,35,37,22,7,40,11,36,21,5,32,33,19,49,34,39,17,2,38,30,26
470,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
430,76,37,22,60,65,80,72,66,58,7,40,11,36,21,5,146,87,67,32,33
85,76,35,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32,33
420,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
336,76,35,37,22,60,65,72,66,58,7,40,11,36,21,5,59,146,87,67,32
378,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
62,76,35,37,22,60,65,80,72,66,58,40,11,36,21,5,59,87,67,32,33
104,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
365,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
285,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
129,76,35,37,22,60,65,80,72,66,58,7,40,11,36,5,59,146,87,67,32
172,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
241,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,32
114,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
340,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
471,76,35,37,22,60,65,80,72,66,58,7,11,36,21,59,146,87,67,32,33
478,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
37,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32
244,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
486,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
134,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
34,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32
254,76,35,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
467,76,35,37,22,60,65,80,72,66,7,40,11,36,21,5,59,146,87,67,32
446,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
295,76,35,37,60,65,72,66,58,7,40,11,36,21,5,59,146,87,67,32,33
137,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
235,76,35,37,22,60,65,80,72,66,7,40,11,36,21,5,59,146,87,67,32
296,76,35,37,22,60,65,72,66,58,7,40,11,36,21,5,59,146,87,67,33
492,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
422,76,35,37,22,60,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
2,35,37,22,7,40,11,36,21,5,32,33,19,34,39,17,18,2,38,30,26
43,76,35,37,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32,33
227,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
348,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
46,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32
203,76,35,37,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
251,76,37,22,65,80,66,58,7,40,11,36,21,5,59,146,87,67,32,33,78
149,76,35,37,22,60,65,80,72,66,7,40,11,36,21,5,59,146,87,67,32
487,76,35,37,22,60,65,80,72,66,58,7,40,36,21,5,59,146,87,67,32
171,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
201,76,35,37,22,60,65,80,66,58,7,40,11,36,21,5,59,146,87,67,32
120,76,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32,33
329,76,35,37,22,60,65,80,66,58,7,40,11,36,21,5,59,146,87,67,32
81,76,35,37,22,65,80,72,66,58,7,11,36,21,5,59,87,67,32,33,78
97,76,35,37,22,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
326,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
198,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
284,35,37,60,65,80,72,66,58,7,11,36,21,5,59,146,67,32,33,78,19
147,76,35,37,22,60,65,80,72,66,7,40,11,36,21,5,59,146,87,67,32
301,76,35,37,22,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
457,76,35,37,22,60,65,80,66,58,7,40,11,36,21,5,59,146,87,67,32
207,76,35,37,22,60,65,80,72,58,7,40,11,36,21,5,59,146,87,67,32
141,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
263,76,35,37,22,60,65,72,66,58,7,40,11,36,21,5,59,146,87,67,32
211,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,59,146,87,67,32
30,76,35,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32,33
164,76,35,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
238,76,37,22,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32,33
299,76,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32,33
253,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
67,76,35,37,22,60,65,80,66,58,7,40,11,36,21,5,59,87,67,32,33
110,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
138,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
3,35,37,22,7,40,11,36,21,5,32,33,19,34,39,17,18,2,38,30,26
246,76,35,37,22,60,65,80,72,66,58,7,11,36,21,5,59,146,87,67,32
107,76,35,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
119,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
485,76,35,37,22,60,65,80,72,66,58,7,40,11,36,59,146,87,67,32,33
443,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
350,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
154,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
480,76,35,37,22,60,65,80,66,58,7,40,11,36,21,5,59,146,87,67,32
280,76,35,37,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
335,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
216,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
375,76,35,37,22,60,65,80,66,58,7,11,36,21,5,59,146,87,67,32,33
71,76,35,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32,33
425,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32
347,76,35,37,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
394,76,35,37,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
237,76,35,37,22,60,65,80,66,58,7,40,11,36,21,5,59,146,87,67,32
257,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
389,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
208,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
214,76,37,22,60,65,72,66,58,7,40,11,36,21,5,59,146,87,32,33,78
178,35,37,22,60,65,80,72,66,58,7,40,11,36,5,59,146,87,67,32,33
163,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
160,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
349,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,67,32,33
334,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
106,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
204,76,35,37,22,60,65,80,72,66,58,7,40,11,36,5,59,146,87,67,32
274,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
242,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
364,76,35,37,22,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
127,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
371,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
357,37,60,65,80,72,66,58,7,40,36,21,5,59,146,87,67,32,33,19,147
38,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32
224,76,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
491,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
1,35,22,7,11,21,32,33,19,34,17,18,2,30,26,15,9,16,23,24,6
157,76,35,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,67,32,33
319,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,33
32,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32
54,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32
248,76,37,60,65,72,66,58,7,40,11,36,21,5,59,146,87,32,33,78,19
16,76,35,37,22,60,65,72,66,58,7,40,11,36,21,5,59,67,32,33,19
367,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
5,35,37,22,7,40,11,36,21,5,32,33,19,49,34,39,17,18,2,38,30
80,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32
53,76,37,22,60,65,80,72,66,58,7,40,11,36,5,59,87,67,32,33,78
65,76,35,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32,33
465,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,59,146,87,67,32
96,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
407,76,35,37,60,80,72,66,58,7,40,11,21,5,59,146,87,67,32,33,78
442,35,37,22,60,65,80,72,66,58,7,40,11,36,21,59,146,87,67,32,33
162,76,35,37,22,60,65,80,66,7,40,11,36,21,5,59,146,87,32,33,78
323,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
209,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
168,76,35,37,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32,33
179,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
260,76,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,32,33
99,76,35,37,22,60,65,80,72,66,58,40,11,36,21,5,59,146,87,67,32
424,76,35,37,60,65,80,66,58,7,36,21,87,67,32,33,19,147,88,49,34
122,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
135,76,35,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67,32
416,35,37,22,60,65,80,72,66,7,40,11,36,21,5,59,146,87,67,32,33
55,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32
438,76,35,37,22,60,65,80,66,58,7,11,36,21,5,59,146,87,67,32,33
185,76,35,37,22,60,65,80,72,66,58,7,40,11,36,5,59,146,67,32,33
261,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
468,35,37,22,60,65,80,72,66,7,11,36,21,59,146,67,32,33,78,19,88
456,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
140,76,35,37,22,60,65,80,72,66,58,7,40,11,36,21,5,59,146,87,67
48,76,35,60,65,80,72,66,58,7,40,11,36,21,5,59,87,67,32,33,78
437,35,37,22,60,65,80,58,7,36,21,87,67,32,33,19,147,88,49,34,77
